,userid,product_category,productName,content,star_rating,review_ranking_score,time
30082,pro1***,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,여태까지 사먹어 본것중 제일 맛있어요,5,-68.923485,2023-03-26T14:12:15.216+00:00
30083,mysa*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,맛있습니다 운동용 간식용,4,-68.92392,2023-04-01T04:02:06.827+00:00
30084,mysa*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,맛있습니다 운동용 간식용,4,-68.923935,2023-04-01T04:00:09.678+00:00
30085,mysa*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,맛있습니다 운동용 간식용,4,-68.923935,2023-04-01T03:59:16.435+00:00
30086,mysa*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,맛있습니다 운동용 간식용,4,-68.92394,2023-04-01T03:58:40.557+00:00
30087,mysa*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,맛있습니다 운동용 간식용,4,-68.92395,2023-04-01T03:57:59.080+00:00
30088,covs****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,배송도 빠르고 맛있습니다.,5,-68.92445,2023-04-19T08:45:17.674+00:00
30089,h2****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,샐러드에 깐풍기맛 닭가슴살 먹었는데 정말 너무 맛있어요💛 이렇게 맛있는 닭가슴살이라니 잘먹을게용,5,-68.92504,2023-03-12T04:16:40.275+00:00
30090,sim6***,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,훈제향에 저염이라서 더 좋을것 같네요 아이들 간식으로 사용할 예정입니다,5,-68.92565,2023-03-23T14:58:52.380+00:00
30091,minj********,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,촉촉하고 부드러워요 먹기 간편해요,5,-68.92588,2023-03-27T07:43:19.438+00:00
30092,nova***,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,간편하게 아침 대용으로 조아요.,5,-68.92613,2023-03-28T11:32:19.458+00:00
30093,slay********,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,진짜 맛있습니다!강추!!추천합니다,5,-68.9262,2023-04-18T07:29:09.453+00:00
30094,tict******,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,건강에 제일 좋을 것 같아 통현미큐브 시켰는데 맛도 담백하니 딱 좋네요,4,-68.92644,2023-03-21T09:16:02.676+00:00
30095,wonj****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,자주 사먹진 않지만 간식용 술안주로 딱임,5,-68.9266,2023-03-28T12:20:51.152+00:00
30096,tict******,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,샐러드로도 완자탕으로도 해먹기 간편합니다,4,-68.92672,2023-03-21T09:18:43.578+00:00
30097,rema******,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,다이어트 하면서 간식으로 너무 먹기 좋은 닭가슴살 만두에요,5,-68.927826,2023-04-12T13:32:59.329+00:00
30098,qudt****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,배송빠루고 맛잇어요,5,-68.92794,2023-04-01T12:09:06.406+00:00
30099,qudt****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,배송빠루고 맛잇어요,5,-68.92795,2023-04-01T12:08:26.522+00:00
30100,qudt****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,배송빠루고 맛잇어요,5,-68.92795,2023-04-01T12:08:06.859+00:00
30101,qudt****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,배송빠루고 맛잇어요,5,-68.92795,2023-04-01T12:07:42.915+00:00
30102,jong******,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,맛있습니다 살빼자!,5,-68.928154,2023-04-20T16:53:08.323+00:00
30103,wodl***,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,자주 보는 다이어트 유투버가 추천해서 사봤어요,5,-68.928474,2023-03-27T04:57:25.097+00:00
30104,wodl***,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,자주 보는 다이어트 유투버가 추천해서 사봤어요,5,-68.92848,2023-03-27T04:55:32.107+00:00
30105,qudt****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,배송빠르고 맛잇어요,5,-68.92879,2023-04-01T12:08:46.284+00:00
